=== LAPORAN MAPPING M3U KE EPG ===
Total ID EPG unik yang berhasil dikumpulkan: 232
==================================

✅ COCOK | ID: beINSports | Nama TV: beIN Sports 1
✅ COCOK | ID: beINSports2 | Nama TV: beIN Sports 2
✅ COCOK | ID: beINSports3 | Nama TV: beIN Sports 3
❌ KOSONG | ID: bein1uk | Nama TV: BeIN Sports AU 1
❌ KOSONG | ID: bein2uk | Nama TV: BeIN Sports AU 2
❌ KOSONG | ID: bein3uk | Nama TV: BeIN Sports AU 3
❌ KOSONG | ID: beINSPORTSXTRA.us@SD | Nama TV: BeIN Sports XTRA (1080p)
❌ KOSONG | ID: beINSPORTSXTRAenEspanol.us | Nama TV: beIN Sports XTRA en Espanol (1080p)
❌ KOSONG | ID: Bein Sports 1 HD (dari nama channel) | Nama TV: Bein Sports 1 HD
❌ KOSONG | ID: Bein Sports 2 HD (dari nama channel) | Nama TV: Bein Sports 2 HD
❌ KOSONG | ID: Bein Sports 3 HD (dari nama channel) | Nama TV: Bein Sports 3 HD
❌ KOSONG | ID: Bein Sports 4 HD (dari nama channel) | Nama TV: Bein Sports 4 HD
❌ KOSONG | ID: Bein Sports 5 HD (dari nama channel) | Nama TV: Bein Sports 5 HD
❌ KOSONG | ID: Bein Sports 6 HD (dari nama channel) | Nama TV: Bein Sports 6 HD
❌ KOSONG | ID: Bein Sports 7 HD (dari nama channel) | Nama TV: Bein Sports 7 HD
❌ KOSONG | ID: Bein Sports 8 HD (dari nama channel) | Nama TV: Bein Sports 8 HD
❌ KOSONG | ID: Bein Sports 9 HD (dari nama channel) | Nama TV: Bein Sports 9 HD
❌ KOSONG | ID: beIN Sports ID 4 (dari nama channel) | Nama TV: beIN Sports ID 4
❌ KOSONG | ID: beIN Sports ID 5 (dari nama channel) | Nama TV: beIN Sports ID 5
❌ KOSONG | ID: BEIN SPORT XTRA (dari nama channel) | Nama TV: BEIN SPORT XTRA
❌ KOSONG | ID: BEIN SPORTS 1 (dari nama channel) | Nama TV: BEIN SPORTS 1
❌ KOSONG | ID: beIN Sports 1 HD (dari nama channel) | Nama TV: beIN Sports 1 HD
❌ KOSONG | ID: BEIN SPORTS 2 (dari nama channel) | Nama TV: BEIN SPORTS 2
❌ KOSONG | ID: beIN Sports 2 HD (dari nama channel) | Nama TV: beIN Sports 2 HD
❌ KOSONG | ID: BEIN SPORTS 3 (dari nama channel) | Nama TV: BEIN SPORTS 3
❌ KOSONG | ID: beIN Sports 3 HD (dari nama channel) | Nama TV: beIN Sports 3 HD
❌ KOSONG | ID: beIN Sports 3 HD (dari nama channel) | Nama TV: beIN Sports 3 HD
❌ KOSONG | ID: BEIN SPORTS 3 🇦🇺 (dari nama channel) | Nama TV: BEIN SPORTS 3 🇦🇺
❌ KOSONG | ID: BEIN SPORTS 4 (dari nama channel) | Nama TV: BEIN SPORTS 4
❌ KOSONG | ID: beIN Sports 4 HD (dari nama channel) | Nama TV: beIN Sports 4 HD
❌ KOSONG | ID: BEIN SPORTS 5 (dari nama channel) | Nama TV: BEIN SPORTS 5
❌ KOSONG | ID: beIN Sports 5 HD (dari nama channel) | Nama TV: beIN Sports 5 HD
❌ KOSONG | ID: BEIN SPORTS 6 (dari nama channel) | Nama TV: BEIN SPORTS 6
❌ KOSONG | ID: BEIN SPORTS 7 (dari nama channel) | Nama TV: BEIN SPORTS 7
❌ KOSONG | ID: BEIN SPORTS 9 (dari nama channel) | Nama TV: BEIN SPORTS 9
❌ KOSONG | ID: USA_BEIN (dari nama channel) | Nama TV: USA_BEIN
❌ KOSONG | ID: CTV 1 (SERI A) (dari nama channel) | Nama TV: CTV 1 (SERI A)
❌ KOSONG | ID: CTV 2 (dari nama channel) | Nama TV: CTV 2
❌ KOSONG | ID: CTV 3 (dari nama channel) | Nama TV: CTV 3
❌ KOSONG | ID: CTV 5 (dari nama channel) | Nama TV: CTV 5
❌ KOSONG | ID: CTV 6 (dari nama channel) | Nama TV: CTV 6
❌ KOSONG | ID: CTV 1 (dari nama channel) | Nama TV: CTV 1
❌ KOSONG | ID: CTV 2 (dari nama channel) | Nama TV: CTV 2
❌ KOSONG | ID: CTV 3 (dari nama channel) | Nama TV: CTV 3
❌ KOSONG | ID: CTV 5 (dari nama channel) | Nama TV: CTV 5
❌ KOSONG | ID: CTV 6 (dari nama channel) | Nama TV: CTV 6
❌ KOSONG | ID: SPOTV (dari nama channel) | Nama TV: SPOTV
❌ KOSONG | ID: SPOTV 2 HD - [Channel 428].id | Nama TV: SpoTV 2
❌ KOSONG | ID: SPOTV NOW (dari nama channel) | Nama TV: SPOTV NOW
❌ KOSONG | ID: SpoTV 1 PH (dari nama channel) | Nama TV: SpoTV 1 PH
❌ KOSONG | ID: SpoTV 2 PH (dari nama channel) | Nama TV: SpoTV 2 PH
❌ KOSONG | ID: SPOTV (dari nama channel) | Nama TV: SPOTV
❌ KOSONG | ID: SPOTV 2 (dari nama channel) | Nama TV: SPOTV 2
❌ KOSONG | ID: SPOTV 2 PH (dari nama channel) | Nama TV: SPOTV 2 PH
❌ KOSONG | ID: SPOTV HD FM (dari nama channel) | Nama TV: SPOTV HD FM
❌ KOSONG | ID: SPOTV PH (dari nama channel) | Nama TV: SPOTV PH
❌ KOSONG | ID: MNCSports.id | Nama TV: Sportstar
❌ KOSONG | ID: MNCSports2.id | Nama TV: Sportstar 2
❌ KOSONG | ID: Sportstars4 | Nama TV: Sportstar 4
❌ KOSONG | ID: SPORTSTARS 2 (dari nama channel) | Nama TV: SPORTSTARS 2
❌ KOSONG | ID: SPORTSTARS 3 (dari nama channel) | Nama TV: SPORTSTARS 3
❌ KOSONG | ID: SPORTSTARS 3 (dari nama channel) | Nama TV: SPORTSTARS 3
❌ KOSONG | ID: SPORTSTARS 4 (dari nama channel) | Nama TV: SPORTSTARS 4
❌ KOSONG | ID: Sportstars 3 | Nama TV: Sportstars 3ᴴᴰ
❌ KOSONG | ID: Soccer Channel V+ (dari nama channel) | Nama TV: Soccer Channel V+
❌ KOSONG | ID: Soccer Channel 1 (dari nama channel) | Nama TV: Soccer Channel 1
❌ KOSONG | ID: #EXTINF:-1 group-logo="https://www.hatchwise.com/wp-content/uploads/2024/12/Screenshot-2024-12-22-073932.png-1.webp" group-title="SPORTS" (dari nama channel) | Nama TV: #EXTINF:-1 group-logo="https://www.hatchwise.com/wp-content/uploads/2024/12/Screenshot-2024-12-22-073932.png-1.webp" group-title="SPORTS"
❌ KOSONG | ID: TVRISport.id@SD | Nama TV: TVRI Sport (720p)
❌ KOSONG | ID: TVRI SPORT (dari nama channel) | Nama TV: TVRI SPORT
❌ KOSONG | ID: ANTV SPORTS (dari nama channel) | Nama TV: ANTV SPORTS
❌ KOSONG | ID: GTV SPORTS (dari nama channel) | Nama TV: GTV SPORTS
❌ KOSONG | ID: INDOSIAR SPORTS 1 (dari nama channel) | Nama TV: INDOSIAR SPORTS 1
❌ KOSONG | ID: INDOSIAR SPORTS 2 (dari nama channel) | Nama TV: INDOSIAR SPORTS 2
❌ KOSONG | ID: MNC TV SPORTS (dari nama channel) | Nama TV: MNC TV SPORTS
❌ KOSONG | ID: MOJI SPORTS (dari nama channel) | Nama TV: MOJI SPORTS
❌ KOSONG | ID: 4 | Nama TV: RCTI SPORTS
❌ KOSONG | ID: SCTV SPORTS (dari nama channel) | Nama TV: SCTV SPORTS
❌ KOSONG | ID: 118 | Nama TV: TVRI SPORT
❌ KOSONG | ID: TVRI SPORTS (dari nama channel) | Nama TV: TVRI SPORTS
❌ KOSONG | ID: RTVS SPORT 🇸🇰 (dari nama channel) | Nama TV: RTVS SPORT 🇸🇰
❌ KOSONG | ID: SCTV 22 - SSPORT 1 🇻🇳 (dari nama channel) | Nama TV: SCTV 22 - SSPORT 1 🇻🇳
❌ KOSONG | ID: SporTV2BR | Nama TV: SporTV 2 BR
❌ KOSONG | ID: SporTVBR | Nama TV: SporTV BR
❌ KOSONG | ID: Tvri.Sport.id | Nama TV: TVRI SPORT
❌ KOSONG | ID: TVRI Sport | Nama TV: TVRI Sport
❌ KOSONG | ID: DAZN COMBAT (dari nama channel) | Nama TV: DAZN COMBAT
❌ KOSONG | ID: DAZN FAST+ (dari nama channel) | Nama TV: DAZN FAST+
❌ KOSONG | ID: DAZN RINGSIDE (dari nama channel) | Nama TV: DAZN RINGSIDE
❌ KOSONG | ID: DAZN1 (dari nama channel) | Nama TV: DAZN1
❌ KOSONG | ID: DAZN2 (dari nama channel) | Nama TV: DAZN2
❌ KOSONG | ID: DAZN3 (dari nama channel) | Nama TV: DAZN3
❌ KOSONG | ID: DAZN4 (dari nama channel) | Nama TV: DAZN4
❌ KOSONG | ID: DAZN5 (dari nama channel) | Nama TV: DAZN5
❌ KOSONG | ID: Dazn F1 ES TEST (dari nama channel) | Nama TV: Dazn F1 ES TEST
❌ KOSONG | ID: DAZN FAST+ (dari nama channel) | Nama TV: DAZN FAST+
❌ KOSONG | ID: DAZN 1 DE (dari nama channel) | Nama TV: DAZN 1 DE
❌ KOSONG | ID: DAZN 1 ES (dari nama channel) | Nama TV: DAZN 1 ES
❌ KOSONG | ID: DAZN 1 IP (dari nama channel) | Nama TV: DAZN 1 IP
❌ KOSONG | ID: DAZN 2 ES (dari nama channel) | Nama TV: DAZN 2 ES
❌ KOSONG | ID: DAZN 2 IP (dari nama channel) | Nama TV: DAZN 2 IP
❌ KOSONG | ID: DAZN 3 IP (dari nama channel) | Nama TV: DAZN 3 IP
❌ KOSONG | ID: DAZN 4 IP (dari nama channel) | Nama TV: DAZN 4 IP
❌ KOSONG | ID: DAZN 5 IP (dari nama channel) | Nama TV: DAZN 5 IP
❌ KOSONG | ID: DAZN 6 IP (dari nama channel) | Nama TV: DAZN 6 IP
❌ KOSONG | ID: DAZN 3 ES (dari nama channel) | Nama TV: DAZN 3 ES
❌ KOSONG | ID: DAZN 4 ES (dari nama channel) | Nama TV: DAZN 4 ES
❌ KOSONG | ID: DAZN F1 (dari nama channel) | Nama TV: DAZN F1
❌ KOSONG | ID: DAZN F1 IP (dari nama channel) | Nama TV: DAZN F1 IP
❌ KOSONG | ID: DAZN HELDINNEN (dari nama channel) | Nama TV: DAZN HELDINNEN
❌ KOSONG | ID: DAZN LALIGA (dari nama channel) | Nama TV: DAZN LALIGA
❌ KOSONG | ID: DAZN RINGSIDE (dari nama channel) | Nama TV: DAZN RINGSIDE
❌ KOSONG | ID: DAZN WOMEN'S FOOTBALL (dari nama channel) | Nama TV: DAZN WOMEN'S FOOTBALL
❌ KOSONG | ID: DAZN 1 🇹🇼 (dari nama channel) | Nama TV: DAZN 1 🇹🇼
❌ KOSONG | ID: DAZN 2 🇹🇼 (dari nama channel) | Nama TV: DAZN 2 🇹🇼
❌ KOSONG | ID: Dazn laliga hypermotion 1 (dari nama channel) | Nama TV: Dazn laliga hypermotion 1
❌ KOSONG | ID: Dazn laliga hypermotion 2 (dari nama channel) | Nama TV: Dazn laliga hypermotion 2
❌ KOSONG | ID: DAZN SPORTS 1 (dari nama channel) | Nama TV: DAZN SPORTS 1
